Clean_review,Label
wow loved place,1
crust not good,0
not tasty texture just nasty,0
stopped late bank holiday rick steve recommendation loved,1
selection menu great prices,1
getting angry want damn pho,0
honeslty didnt taste fresh,0
potatoes like rubber tell up ahead time kept warmer,0
fries great too,1
great touch,1
service prompt,1
would not go back,0
cashier no care say ended up wayyy overpriced,0
tried cape cod ravoli chicken cranberrymmmm,1
disgusted pretty sure human hair,0
shocked no signs indicate cash,0
highly recommended,1
waitress little slow service,0
place not worth time let vegas,0
did not like all,0
burrittos blah,0
food amazing,1
service cute,1
care less interior just beautiful,1
performed,1
thats rightthe red velvet cakeohhh stuff good,1
never brought salad asked,0
hole wall has great mexican street tacos friendly staff,1
took hour get food tables restaurant food luke warm sever running like totally overwhelmed,0
worst salmon sashimi,0
combos like burger fries beer decent deal,1
like final blow,0
place accident not happier,1
like good quick place grab bite some familiar pub food do favor look,0
overall like place lot,1
redeeming quality restaurant inexpensive,1
ample portions good prices,1
poor service waiter feel like stupid time came table,0
visit hiro delight,1
service sucks,0
shrimp tender moist,1
not deal good enough would drag establishment again,0
hard judge sides good grossed melted styrofoam didnt want eat fear getting sick,0
positive note server attentive provided great service,1
frozen pucks disgust some worst people register,0
thing did like prime rib dessert section,1
too bad food damn generic,0
burger good beef cooked just right,1
want sandwich just go firehouse,1
greek salad greek dressing tasty pita hummus refreshing,1
ordered duck rare pink tender inside nice char outside,1
came running realized husband left sunglasses table,1
chow mein good,1
have horrible attitudes customers talk down customers dont enjoy food,0
portion huge,1
loved itfriendly servers great food wonderful imaginative menu,1
heart attack grill downtown vegas absolutely flatlined excuse restaurant,0
not much seafood like strings pasta,0
salad just right sauce not over power scallop perfectly cooked,1
ripped banana not ripped petrified tasteless,0
least think refill water struggle wave over minutes,0
place receives stars appetizers,1
cocktails all handmade delicious,1
wed definitely go back again,1
glad place,1
great food service huge portions military discount,1
always great time dos gringos,1
updatewent back second time just amazing,1
got food apparently have never heard salt batter fish chewy,0
great way finish great,1
deal included tastings drinks jeff went expected,1
really really good rice all time,1
service meh,0
took over min get milkshake nothing chocolate milk,0
guess should have known place would suck inside excalibur didnt use common sense,0
scallop dish quite appalling value,0
times bad customer service,0
sweet potato fries good seasoned,1
today second time ive lunch buffet pretty good,1
much good food vegas feel cheated wasting eating opportunity going rice company,0
coming like experiencing underwhelming relationship parties wait person ask break up,0
walked place smelled like old grease trap eating,0
turkey roast beef bland,0
place has,1
pan cakes raving taste like sugary disaster tailored palate year old,0
love pho spring rolls oh yummy have try,1
poor batter meat ratio chicken tenders unsatisfying,0
all have say food amazing,1
omelets die,1
everything fresh delicious,1
summary largely disappointing dining experience,0
